episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40
0,0,heuristic,120,414792.4932317091,36132395.41329338,46.81160298360407,170.09193735460428,3.6335422526372274,95,0.7545852694965045,18.5,0.12258047562878988,49,Time Limit,-1196.2802958887062,-60.586002052453736,0.0
1,1,heuristic,120,271001.79232783045,16173287.467990767,151.92083606924425,406.9378083735872,2.678617488572195,84,1.2997890418279345,24.5,0.048454754345304704,74,Time Limit,-1444.0704327482995,-84.22961729145057,0.0
2,2,heuristic,120,1389232.2631769816,44865825.38019254,15.66246683257406,161.47522404030954,10.30969296001834,116,1.767365396068711,22.0,0.03189751142543813,91,Time Limit,-1315.2070024596496,-52.436507813238904,0.0
3,3,heuristic,120,587304.7936280307,16381005.490092292,38.39581132256732,171.5242913030801,4.467265709326629,98,0.5561222371462791,29.5,0.026767305596649447,102,Time Limit,-1474.6228869141153,-72.90612528506274,0.0
4,4,heuristic,120,1885116.6056699997,86342439.55841078,29.095849553093917,103.57660128623156,3.5598411071388605,118,1.1126796031912818,24.5,0.06074643371400965,67,Time Limit,-1113.7383766679463,-38.78142468424198,0.0
5,5,heuristic,120,1144020.6855900427,50116876.300773956,167.7546442085608,385.76153810430236,2.299558023709345,103,1.0958957440586217,30.0,0.03387667173108399,88,Time Limit,-1377.4299449777213,-49.74594068467183,0.0
6,6,heuristic,120,421983.6427177299,26939235.193400763,13.705498972842916,114.47387584644433,8.352404832051084,88,1.1097674951210392,23.0,0.042017746493642066,79,Time Limit,-1419.1808438756932,-65.10270567714525,0.0
7,7,heuristic,120,658564.1875307423,18670522.044833384,198.44642385607258,274.93349881254113,1.38542934395201,100,1.1890573226200594,21.0,0.03703691252348769,84,Time Limit,-1345.3870042989797,-68.67913553891876,0.0
8,8,heuristic,120,635998.5833502497,23782468.49932908,60.892739949059944,99.84658275084813,1.6397124326212809,105,0.7187536380131576,23.5,0.040916859168959964,80,Time Limit,-1325.9935993485303,-65.65662576340326,0.0
9,9,heuristic,120,819046.0718011449,22433199.956045322,51.353522663846434,99.87646438884329,1.9448804913077102,103,0.4747429450578612,30.5,0.027893052161130714,99,Time Limit,-1420.3529892975114,-65.00861726335067,0.0
10,10,heuristic,120,440469.3136791644,16546024.351191841,69.82068837125229,275.4315266049311,3.9448411785973776,91,0.5361042681024472,25.5,0.03887746539998636,82,Time Limit,-1415.75443361609,-73.49730917097583,0.0
11,11,heuristic,120,642335.4941328884,14998527.567739094,9.914297699189945,104.87028760828545,10.577681928681036,79,1.0718186604036979,28.5,0.02749839955307418,100,Time Limit,-1476.270830722459,-70.04549272012694,0.0
12,12,heuristic,120,2187213.8797307583,105467870.91718644,28.242146683635085,130.10577773435998,4.606794915124132,112,0.8370862531538332,17.5,0.2003453920308643,38,Time Limit,-929.1073594208012,-35.73832423527411,0.0
13,13,heuristic,120,533599.6303545107,21475746.7676002,39.10620212424206,174.58195921994886,4.464303607527383,99,1.3898805510810777,20.0,0.03318283814452979,89,Time Limit,-1442.6985114126903,-68.88957484660128,0.0
14,14,heuristic,120,1349000.7206578634,73143785.03838295,159.6631873313514,144.75082882768183,0.9066011473720506,105,1.047015486536039,15.5,0.4740254055565579,20,Time Limit,-951.3670699405155,-43.416714033217524,0.0
15,15,heuristic,120,1957383.7154992435,74799462.45363022,14.497698187679896,152.59408671809254,10.525400980396086,110,0.6834004654703412,20.5,0.09163577198261993,56,Time Limit,-1067.167866677362,-42.68034605938627,0.0
