episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40
0,0,random,46,286668.22841441754,-39739.950442033005,2684.8424364514267,783.9567974157118,0.29199359588932616,40,2.250072662719999,12.0,0.2782496925764272,31,Bankruptcy,-604.6044376373745,-105.93911501205494,0.0
1,1,random,93,694722.1884519955,-75677.96686212451,1236.1709540215281,498.0765673213278,0.4029188403925673,97,1.254171569210868,19.5,0.03887746539998636,82,Bankruptcy,-1253.15709721042,-98.04889447512699,0.0
2,2,random,54,413818.88563098566,-70591.64078706084,142.96056680418837,1649.8467681886455,11.540572376496126,56,8.760000000000021,12.0,0.24141683017271423,34,Bankruptcy,-560.9447980775711,-103.12507494375211,0.0
3,3,random,120,830825.9076594008,3000922.218007373,15.202889108908618,93.43299061981662,6.145739138823724,110,0.9626771155654261,25.0,0.04995237299505759,73,Time Limit,-1299.816195454304,-91.68968272567811,0.0
4,4,random,120,922160.2493682386,747596.4090259179,311.39577566640867,126.92755541036996,0.4076084691217668,126,1.5172230458523643,22.0,0.05677365642689371,69,Time Limit,-1295.1989544402754,-100.3519629191556,0.0
5,5,random,24,187369.1531577283,-40596.66462299705,87.58355767498581,3310.1948564333497,37.794706498646306,27,9.700000000000017,8.0,1.0,5,Bankruptcy,-190.21699120482708,-129.22116378729473,0.0
6,6,random,64,500827.74167848565,-39282.013994324836,43.763538338341455,829.8983694911044,18.96323745751669,73,2.2890911859199976,12.5,0.3212097303705231,28,Bankruptcy,-667.7450348900196,-94.76870934003216,0.0
7,7,random,52,273644.5685722338,-8091.80739795143,181.32842431966537,786.9429013985366,4.339876135532003,41,1.2796928587268104,16.5,0.11745145184735038,50,Bankruptcy,-727.9914582281585,-101.08598507279075,0.0
8,8,random,120,957453.3733917215,3972564.6276116106,87.39929650017604,263.6022771173242,3.0160686375409584,116,1.5504511412223991,22.0,0.034607022874825255,87,Time Limit,-1307.8359300306984,-89.87762643449057,0.0
9,9,random,36,333984.49004819116,-39189.1947046197,28.9515211394351,929.0253055212185,32.08899805460604,42,5.4178190625000004,7.0,1.0,0,Bankruptcy,-295.50204159661746,-108.73709765803652,0.0
10,10,random,94,496629.8106149102,-218825.81415215845,37.92103506926145,92.0844229619012,2.428320397734719,100,0.7224030117020435,18.5,0.12258047562878988,49,Bankruptcy,-1063.9297966485271,-96.39719180973943,0.0
11,11,random,120,539532.9694131621,3270916.7584276367,75.04580565367603,148.70806892355785,1.9815640278394901,119,1.885365991645287,16.5,0.10355243852762203,53,Time Limit,-1254.356314131045,-91.7869409712898,0.0
12,12,random,50,388636.3685625366,-9715.345457931107,77.16103993064714,1514.1147689029112,19.622788524672657,50,9.95000000000002,9.0,0.4092700320890538,23,Bankruptcy,-444.40013451539147,-102.15625496638796,0.0
13,13,random,21,151723.80978456148,-48363.548833034525,104.55891495720101,1934.9700249684047,18.506026250946118,25,6.597125,7.0,1.0,0,Bankruptcy,-174.87438834582838,-139.82813243216293,0.0
14,14,random,31,191312.98205784647,-19906.42032192822,1031.7756341456109,1856.2130205058534,1.7990471562579007,25,6.312968750000001,9.0,1.0,1,Bankruptcy,-253.60119037319706,-128.2849805299792,0.0
15,15,random,25,193672.26753152098,-955.7204565403808,80.2874698949327,3567.3496027002816,44.43220850487198,28,8.347500000000014,8.0,1.0,0,Bankruptcy,-202.05162526181314,-125.98702295432585,0.0
16,16,random,40,311569.1408632321,-52440.512897273875,125.51651879011624,934.7564406655689,7.447278252105061,50,8.645000000000008,10.0,1.0,3,Bankruptcy,-327.16234968338523,-100.08795985332718,0.0
17,17,random,120,654473.3653541664,12752867.640125347,26.47896656136616,110.14306351101922,4.159643589403607,113,1.2398844588007767,14.5,0.2782496925764272,31,Time Limit,-1098.6348296346532,-77.60531201155446,0.0
18,18,random,120,671051.7416044602,1474630.5169357215,146.08953499069196,247.3417168419654,1.6930830593562,122,1.3487928836686074,19.0,0.1525704351934748,44,Time Limit,-1181.3752234259582,-91.09816712085166,0.0
19,19,random,47,313587.0672222088,-58986.86111230333,51.499921117797896,619.7066928582337,12.033158098257141,46,3.8241581610429636,5.0,1.0,0,Bankruptcy,-443.42021319291115,-104.10326490694723,0.0
20,20,random,58,363009.5499557661,-115721.84332069271,52.55423658053517,355.3780483376851,6.76211988719685,59,1.5735849178460155,16.0,0.11745145184735038,50,Bankruptcy,-734.4062875415599,-99.86961613348547,0.0
21,21,random,120,719812.5168235557,13148881.049372433,13.320523695447548,76.33071364110349,5.730308761598498,98,0.6314076538035198,24.5,0.03318283814452979,89,Time Limit,-1463.2259980669828,-75.93436317472433,0.0
22,22,random,65,467958.1427118417,-14637.294904969982,25.67776901656479,314.2956223366036,12.239989468471766,67,1.5767718256639986,11.5,0.49792147953321886,19,Bankruptcy,-577.7801026822481,-100.42329549142728,0.0
23,23,random,86,604603.7418118997,-21857.361641024123,12.631166412099724,228.7328546137247,18.10860906674585,89,1.7623898158776306,19.5,0.05152881367900799,72,Bankruptcy,-1105.5137782351912,-93.64642755462945,0.0
24,24,random,84,409034.63112766267,-34131.39730660664,22.808001484547045,163.89938577449283,7.186047663384207,86,2.787370035871649,9.0,1.0,1,Bankruptcy,-758.9364076977346,-93.52524629827607,0.0
25,25,random,120,811198.3072382298,1772691.3609289145,49.76728562854485,117.02569208755925,2.351458204110638,111,1.3673300503513655,24.5,0.025236412068924408,107,Time Limit,-1524.149206110317,-92.26932390017333,0.0
26,26,random,120,1047275.5902434663,15567492.916468766,12.104318395921442,266.46639964829603,22.01415981738237,128,0.6202726853645469,21.5,0.11745145184735038,50,Time Limit,-1168.604429616398,-80.22023049250939,0.0
27,27,random,89,628410.2829774925,-83996.55900704511,42.255274256143785,254.04257722091054,6.012091548168653,97,1.2888690769158142,16.0,0.2530703475502255,33,Bankruptcy,-826.3201960675691,-96.9842138372098,0.0
28,28,random,36,284309.5609106473,-15076.03158046183,59.69255271490269,2122.0753134602387,35.550084842165695,37,6.4985,6.0,1.0,0,Bankruptcy,-271.4996023681137,-112.14865384566224,0.0
29,29,random,120,442598.59109539294,8379282.600628823,10.336435994448781,41.82935846092668,4.046787353338353,97,1.7061347216080747,24.0,0.13366257687400543,47,Time Limit,-1258.6193444027494,-85.26021576058342,0.0
30,30,random,37,303369.4969601288,-21780.333502610738,194.79428925703382,1387.1111824669008,7.120902711047077,37,5.955750000000002,8.0,1.0,0,Bankruptcy,-293.03242331195554,-112.67874946402003,0.0
31,31,random,58,448360.07801462297,-12452.769159262825,84.8061804810679,1869.359637016192,22.042728801275363,60,2.2050804991999975,19.0,0.12797944803030514,48,Bankruptcy,-703.3841841367765,-96.80665602252425,0.0
32,32,random,53,306513.31016944075,-42907.92403827753,147.1309106408682,960.5900488735199,6.528811958611634,51,1.7764302811064792,14.0,0.29184178165939706,30,Bankruptcy,-566.8875999538162,-99.00019708138404,0.0
33,33,random,25,165921.94712354644,-32231.479007018905,95.98823728143651,2616.8498429696415,27.262192921587516,30,6.113381250000001,7.0,1.0,0,Bankruptcy,-222.13899580376915,-124.49063227198394,0.0
34,34,random,99,576913.5990161222,-198586.50790682016,69.34642435854362,345.8390265312368,4.987121250017684,94,1.032444145719845,17.5,0.10355243852762203,53,Bankruptcy,-1068.9921049627635,-98.76003438561152,0.0
35,35,random,39,321767.7749442912,-84138.6604604366,297.3483948194473,736.406813881812,2.4765790793286944,47,2.0506190984599972,11.5,0.8182161249999997,9,Bankruptcy,-336.22712559506584,-107.12951625588131,0.0
36,36,random,26,189283.57852507415,-24515.073658949725,83.61900603297477,1824.6418899203634,21.82089905733661,30,9.100000000000009,9.0,0.9044499999999999,7,Bankruptcy,-233.72004257911107,-122.65220031628907,0.0
37,37,random,94,582446.9439547526,-26356.301501155947,21.106455039322864,138.30053038150118,6.552522918881319,87,1.2410489486299108,14.0,0.5495528859093838,17,Bankruptcy,-841.0299885092231,-104.94016270087799,0.0
38,38,random,120,738005.1701688885,1947694.5870762288,28.346826764837477,102.4207842891446,3.6131304974210163,109,1.2783846384302695,22.0,0.14594191343380106,45,Time Limit,-1166.4138499639082,-96.23799170932196,0.0
39,39,random,104,582824.45600606,-150185.38702493475,148.6548310699783,224.46659495050295,1.5099852008498584,99,1.0954590785229865,15.5,0.2198286892308746,36,Bankruptcy,-1032.7504145592259,-92.3356195496119,0.0
40,40,random,71,400401.90824105655,-131661.27324173658,52.320342720865455,157.91042446985352,3.0181458350210413,70,1.1140933920459386,16.0,0.33706287407423485,27,Bankruptcy,-794.62466295635,-96.20874514833541,0.0
41,41,random,85,555500.9345878824,-11171.082414549193,52.95063817024422,328.42376616843325,6.20245151932828,86,0.8889772209604331,14.0,0.19132812242932107,39,Bankruptcy,-949.1193234666468,-94.84695530827942,0.0
42,42,random,27,203707.10969385278,-67970.2985478412,201.27658116237518,1623.529896106891,8.066163915995505,30,4.866970000000003,9.5,0.9044499999999999,7,Bankruptcy,-239.44092258914912,-122.43180800307874,0.0
43,43,random,70,384300.2115658136,-7674.975417953276,18.172229107428517,364.7442889657446,20.071521595369,54,4.218950187499996,10.5,0.7783053187499998,10,Bankruptcy,-543.5996414741661,-95.45333492038678,0.0
44,44,random,54,423609.8442824909,-14080.834788331005,192.76611514795076,1294.8048716098303,6.716973419400236,56,4.485524500000003,11.5,0.606762200453611,15,Bankruptcy,-480.2848829008248,-98.48924728698559,0.0
45,45,random,41,297473.3766572585,-49255.18442515604,177.3656458451089,1779.717604969054,10.034173170847628,41,3.9446309669140605,7.0,1.0,0,Bankruptcy,-395.13677071049455,-104.00785312538005,0.0
46,46,random,102,367042.59089798375,-195928.33005942777,118.89237745326835,134.8781866022298,1.134456131598889,79,0.6121017930062795,22.0,0.09937481660124092,54,Bankruptcy,-1180.4081111600153,-96.20659813923393,0.0
47,47,random,25,207105.0584962883,-31008.502512044215,252.53027883744377,1245.4202736124485,4.931766120664436,34,6.030762499999999,8.0,1.0,0,Bankruptcy,-206.66671973119,-119.64903519165541,0.0
48,48,random,120,1054023.1409394988,13082312.734006248,774.3173400654558,1132.3863720496188,1.4624318912371175,112,0.9111583508407664,25.5,0.02969059741546577,95,Time Limit,-1423.3861093232174,-82.04294680830601,0.0
49,49,random,78,367350.29593340633,-50860.09492451011,61.856185038718735,226.75984843270385,3.6659203649685805,78,0.540713805590766,16.5,0.30614924385199693,29,Bankruptcy,-831.2683286797615,-95.70637581466946,0.0
50,50,random,109,593014.2691150875,-279084.44287608564,20.674992715536217,143.91122678488622,6.960642200214377,121,1.9394611166422675,14.5,0.19132812242932107,39,Bankruptcy,-1127.4148900557288,-96.39426010355311,0.0
