ticker,name,cik,quarters,consecutive_q,span_start,span_end,rev_min,rev_median,rev_max,qtrs_lt_25m,median_qoq,median_sm,median_rnd,median_gm,median_r40,derived_pct,missing
QLYS,"QUALYS, INC.",1107843,62,62,2011Q1,2026Q2,17690000,72929000,182175000,9,0.04106,0.22915,0.19571,0.79124,42.777,18.9,
EGHT,8X8 INC /DE/,1023731,65,61,2010Q2,2026Q2,16834000,83225000,190170000,8,0.0394,0.4506,0.14694,0.6781,9.481,15.0,
PCTY,Paylocity Holding Corp,1591698,56,54,2012Q3,2026Q2,15826000,124926500,469930000,6,0.05914,0.26391,0.12187,0.64096,24.24,25.0,short_term_investments
RPD,"Rapid7, Inc.",1560327,49,49,2014Q2,2026Q2,17880000,98912000,217960000,4,0.05614,0.47987,0.26279,0.70623,15.448,22.7,
BL,"BLACKLINE, INC.",1666134,46,44,2015Q1,2026Q2,18047000,92933500,187822000,4,0.04507,0.48865,0.15956,0.75864,21.32,24.6,short_term_investments
SPT,"Sprout Social, Inc.",1517375,30,30,2019Q1,2026Q2,23379000,67483500,123847000,2,0.06521,0.45093,0.23806,0.7647,10.465,26.5,
S,"SentinelOne, Inc.",1583708,24,24,2020Q3,2026Q2,20674000,141407000,276657000,2,0.09342,0.64963,0.38838,0.69283,2.481,24.7,
WEAV,"Weave Communications, Inc.",1609151,24,24,2020Q3,2026Q2,21388000,42605500,67542000,2,0.04768,0.43223,0.20474,0.68022,8.884,27.8,short_term_investments
TWLO,TWILIO INC,1447669,45,45,2015Q2,2026Q2,37954000,548090000,1499089000,0,0.0824,0.25819,0.26925,0.51538,14.418,27.2,short_term_investments
YEXT,"Yext, Inc.",1614178,41,41,2016Q2,2026Q2,27125000,92194000,113989000,0,0.03233,0.61348,0.17512,0.74625,1.127,25.5,short_term_investments
BAND,Bandwidth Inc.,1514416,39,39,2016Q3,2026Q1,38603000,120658000,209969000,0,0.0433,0.14521,0.14795,0.43597,12.714,26.0,
ALRM,"Alarm.com Holdings, Inc.",1459200,38,38,2017Q1,2026Q2,74194000,193807000,277734000,0,0.03606,0.11825,0.25173,0.64156,19.811,22.5,short_term_investments
RNG,"RingCentral, Inc.",1384905,38,38,2017Q1,2026Q2,112234000,431562500,657011000,0,0.04546,0.48444,0.15162,0.72241,18.753,25.1,short_term_investments
TENB,"Tenable Holdings, Inc.",1660280,38,38,2017Q1,2026Q2,40481000,143841000,268508000,0,0.05593,0.5041,0.22083,0.7951,20.597,17.4,
WK,WORKIVA INC,1445305,38,38,2017Q1,2026Q2,49391000,116738000,255290000,0,0.04682,0.42172,0.27232,0.75546,13.993,10.9,short_term_investments
APPF,APPFOLIO INC,1433195,37,37,2017Q2,2026Q2,35877000,95809000,281124000,0,0.06834,0.186,0.18225,0.60804,23.746,28.3,short_term_investments
ZS,"Zscaler, Inc.",1713683,37,37,2017Q2,2026Q2,32964000,230517000,850475000,0,0.09152,0.60277,0.23273,0.77761,34.184,27.7,short_term_investments
DOMO,"DOMO, INC.",1505952,36,36,2017Q3,2026Q2,25903000,67537000,80184000,0,0.03527,0.55082,0.30946,0.74084,-2.799,26.7,
ESTC,Elastic N.V.,1707753,35,35,2017Q4,2026Q2,37038000,223944000,450681000,0,0.06777,0.45642,0.31213,0.73589,11.565,28.7,
MDB,"MongoDB, Inc.",1441816,35,35,2017Q4,2026Q2,41488000,266494000,695072000,0,0.0801,0.52563,0.32417,0.71929,10.426,28.5,short_term_investments
OKTA,"Okta, Inc.",1660134,35,35,2017Q4,2026Q2,66911000,382814000,765000000,0,0.081,0.53905,0.26669,0.73296,23.443,24.8,
CRWD,"CrowdStrike Holdings, Inc.",1535527,33,33,2018Q2,2026Q2,47289000,487834000,1385629000,0,0.10615,0.4126,0.26714,0.73733,45.258,26.1,
FSLY,"Fastly, Inc.",1517413,33,33,2018Q2,2026Q2,34448000,102518000,183317000,0,0.04627,0.35603,0.26179,0.54849,1.122,25.4,
PD,"PagerDuty, Inc.",1568100,33,33,2018Q2,2026Q2,25020000,85371000,124785000,0,0.05819,0.53133,0.30265,0.83987,14.63,24.5,
ZM,"Zoom Communications, Inc.",1585521,33,33,2018Q2,2026Q2,60070000,1073800000,1246992000,0,0.02627,0.32365,0.13437,0.76052,41.036,26.2,short_term_investments
DDOG,"Datadog, Inc.",1561550,32,32,2018Q3,2026Q2,51074000,421335500,1121454000,0,0.08562,0.28962,0.42422,0.79338,35.378,28.1,short_term_investments
NET,"Cloudflare, Inc.",1477333,32,32,2018Q3,2026Q2,50070000,244187000,696061000,0,0.09229,0.48463,0.2763,0.76737,25.063,28.0,short_term_investments
ASAN,"Asana, Inc.",1477720,27,27,2019Q4,2026Q2,38079000,150231000,205570000,0,0.0569,0.71104,0.50073,0.89591,-5.836,28.4,short_term_investments
AI,"C3.ai, Inc.",1577526,26,26,2020Q1,2026Q2,40483000,68221000,108723000,0,0.03646,0.65718,0.61687,0.66098,-32.846,26.2,
DOCN,"DigitalOcean Holdings, Inc.",1582961,26,26,2020Q1,2026Q2,72792000,167474000,281184000,0,0.05525,0.09606,0.20168,0.58756,38.235,19.8,
KLTR,KALTURA INC,1432133,25,25,2020Q2,2026Q2,28749000,43866000,46984000,0,0.01042,0.26753,0.28332,0.64249,0.595,24.7,
PATH,"UiPath, Inc.",1734722,25,25,2020Q2,2026Q2,113103000,289698000,481107000,0,0.07075,0.5869,0.25931,0.83491,17.329,24.1,
ZETA,Zeta Global Holdings Corp.,1851003,25,25,2020Q2,2026Q2,77130000,175140000,442766000,0,0.1044,0.33183,0.10094,0.60862,23.916,27.3,short_term_investments
AMPL,"Amplitude, Inc.",1866692,24,24,2020Q3,2026Q2,26366000,69202000,100886000,0,0.04235,0.54333,0.30453,0.71871,5.663,25.4,
FRSH,Freshworks Inc.,1544522,24,24,2020Q3,2026Q2,66187000,149314500,237377000,0,0.05365,0.5631,0.2225,0.8288,23.551,24.9,
INTA,"Intapp, Inc.",1565687,24,24,2020Q3,2026Q2,48143000,98097000,152533000,0,0.04448,0.3391,0.27118,0.68979,17.169,28.4,short_term_investments
BRZE,"Braze, Inc.",1676238,23,23,2020Q4,2026Q2,39332000,115107000,210999000,0,0.07598,0.491,0.23091,0.67182,10.043,28.4,short_term_investments
GTLB,Gitlab Inc.,1653482,23,23,2020Q4,2026Q2,42152000,139581000,264158000,0,0.08492,0.65995,0.3511,0.88329,12.541,27.7,
KVYO,"Klaviyo, Inc.",1835830,16,16,2022Q3,2026Q2,119168000,228653500,370576000,0,0.05819,0.42536,0.24751,0.75602,23.761,27.4,short_term_investments
