episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40,oracle_refresh_requests,cadence_refreshes,event_refreshes,cache_hits,llm_calls,scenario_id,scenario_label
0,0,oracle_v3,120,17194.261336947828,43819686.93324166,126.93697146166711,145.1450031602689,1.1434415165962923,63,0.7545852694965045,18.5,0.3429628906099305,49,Time Limit,-1546.7991965811984,-264.7586737502398,0.0,40,11,28,0,40,oracle_v3_case_study,Oracle v3 Case Study
1,1,oracle_v3,120,972209.5867544798,57068642.89962586,449.1198904173683,1007.5886834837339,2.243473747171115,74,1.2136125553903807,24.5,0.3419677185947307,74,Time Limit,-1508.157913734716,-46.34630282450902,0.0,32,11,20,0,32,oracle_v3_case_study,Oracle v3 Case Study
2,2,oracle_v3,120,1903724.87750591,94236811.77010515,449.63653216055707,1147.1004889670996,2.551172796069628,64,1.767365396068711,34.0,0.38809502918636557,93,Time Limit,-1635.198033488953,-34.31944414461137,0.0,24,11,12,0,24,oracle_v3_case_study,Oracle v3 Case Study
3,3,oracle_v3,120,287939.14153736696,45352249.02025382,123.69950412174639,349.37283968351295,2.824367342165385,66,0.5561222371462791,29.5,0.3169466310462612,102,Time Limit,-1754.4583198544487,-59.251220418117235,0.0,42,11,30,1,41,oracle_v3_case_study,Oracle v3 Case Study
4,4,oracle_v3,120,6536515.866679741,182966287.74662912,273.6641755124774,413.3252934261336,1.5103375977221707,94,1.0229757167841267,24.5,0.46424820495881486,72,Time Limit,-1205.0418523130043,-29.491121461989614,0.0,29,11,17,0,29,oracle_v3_case_study,Oracle v3 Case Study
5,5,oracle_v3,120,670723.3262284903,62345200.22574369,207.0925275660607,413.981923825813,1.9990191277845908,67,0.848352504862432,38.0,0.33002987269506556,91,Time Limit,-1623.4415987582731,-44.58657459019332,0.0,30,11,18,1,29,oracle_v3_case_study,Oracle v3 Case Study
6,6,oracle_v3,120,35120.24439365296,38366717.39854456,44.84604480010721,96.11764066572238,2.1432802177794863,61,1.1097674951210392,23.0,0.320377187134523,79,Time Limit,-1739.9367172372624,-168.07166250070367,0.0,43,11,31,0,43,oracle_v3_case_study,Oracle v3 Case Study
7,7,oracle_v3,120,2725809.8591877823,78169755.22163972,831.7767469046381,757.9361347810249,0.911225443127134,95,1.1294695404185615,21.0,0.4076969062584501,96,Time Limit,-1448.4961389080386,-44.9639663109092,0.0,27,11,15,0,27,oracle_v3_case_study,Oracle v3 Case Study
8,8,oracle_v3,120,264534.696774345,25453842.030325763,86.30984170318277,321.66035517683275,3.7268096989797996,79,0.8015706223358455,38.0,0.31904864783794024,67,Time Limit,-1562.0484242566388,-74.8107640351361,0.0,35,11,23,0,35,oracle_v3_case_study,Oracle v3 Case Study
9,9,oracle_v3,120,357982.8140581842,26137271.596049283,78.99325178287343,82.79945529789485,1.0481839072213843,79,0.4747429450578612,30.5,0.3156865552137148,99,Time Limit,-1595.0805234307209,-69.34678927627323,0.0,32,11,20,1,31,oracle_v3_case_study,Oracle v3 Case Study
10,10,oracle_v3,120,2430939.4403072298,86942997.82556185,418.59248989391483,894.622437784075,2.1372156915925604,80,0.5252789947049405,25.5,0.4062600366131811,89,Time Limit,-1507.6723002613257,-41.03865220443743,0.0,34,11,22,1,33,oracle_v3_case_study,Oracle v3 Case Study
11,11,oracle_v3,120,308046.19613550336,6593284.937936749,31.293681667615996,127.28826143229375,4.0675387058729155,60,1.0718186604036979,40.5,0.318424742538234,82,Time Limit,-1552.5516919674833,-87.48838148246014,0.0,30,11,18,1,29,oracle_v3_case_study,Oracle v3 Case Study
12,12,oracle_v3,120,1638561.216016837,189149502.06087863,130.79245490242323,163.90225752515818,1.2531476502022711,72,0.8370862531538332,17.5,0.43791184499083163,38,Time Limit,-1287.661327457898,-25.427878095309172,0.0,29,11,17,1,28,oracle_v3_case_study,Oracle v3 Case Study
