scenario_id,scenario_label,policy,episode,seed,month,reward,rule_of_40,shock_label,terminated,truncated,mrr,cash,innovation_factor,unemployment,months_in_depression,brief_risk_level,brief_source
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,0,-1.9074451217281077,1.6997824382443838,NO_SHOCK,False,False,92554.87827189243,1015354.8782718924,1.0,4.0,0,LOW,cache_hit
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,1,-6.889501889181428,-57.71880305136872,NO_SHOCK,False,False,110498.11081857218,1040652.9890904645,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,2,-6.833355950293763,-5.1159163391139515,NO_SHOCK,False,False,166644.0497062367,1114097.0387967012,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,3,-6.811993665627423,-41.00886320708973,NO_SHOCK,False,False,188006.33437257784,1200903.3731692792,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,4,-6.7727844630922185,-27.204837617567005,NO_SHOCK,False,False,227215.53690778182,1318918.910077061,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,5,-6.751187525678076,-37.598703350611515,NO_SHOCK,False,False,248812.47432192424,1450531.3843989852,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,6,-6.717590375223744,-30.829765845424497,NO_SHOCK,False,False,282409.62477625604,1607741.0091752412,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,7,-6.698550621156841,-37.44463052600285,NO_SHOCK,False,False,301449.3788431593,1775990.3880184004,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,8,-6.635771381792734,-17.94106219479093,NO_SHOCK,False,False,364228.61820726545,1999019.006225666,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,9,-6.616193632719261,-33.49864231116059,NO_SHOCK,False,False,383806.36728073924,2233625.3735064054,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,10,-6.583558452781573,-29.245362509349007,NO_SHOCK,False,False,416441.54721842706,2492866.9207248325,1.0,4.0,0,LOW,llm
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,11,-6.565902609592629,-33.81628328216375,NO_SHOCK,False,False,434097.3904073707,2761764.3111322033,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,12,-6.538058094675172,-31.079544742187817,NO_SHOCK,False,False,461941.90532482753,3050506.2164570307,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,13,-6.506500457156869,-29.885842733611362,NO_SHOCK,False,False,493499.54284313146,3362805.759300162,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,14,-6.468434960939803,-27.8796302296092,NO_SHOCK,False,False,531565.0390601978,3705170.79836036,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,15,-6.444276503573382,-30.940493823295753,NO_SHOCK,False,False,555723.4964266174,4063694.2947869776,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,16,-6.396442251497589,-25.39084035421726,NO_SHOCK,False,False,603557.748502411,4462052.0432893885,1.0,4.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,12,12,17,-6.354170724232803,-26.00809491775121,NO_SHOCK,False,False,645829.2757671964,4894681.319056585,1.0,4.0,0,LOW,reuse
