scenario_id,scenario_label,episode,outcome_bucket,retrieval_count,episode_total,retrieval_share
oracle_v3,Oracle v3,0,NEGATIVE,106,330,0.3212121212121212
oracle_v3,Oracle v3,0,POSITIVE,224,330,0.6787878787878788
oracle_v3,Oracle v3,1,NEGATIVE,165,360,0.4583333333333333
oracle_v3,Oracle v3,1,POSITIVE,195,360,0.5416666666666666
oracle_v3,Oracle v3,2,NEGATIVE,22,360,0.06111111111111111
oracle_v3,Oracle v3,2,NEUTRAL,11,360,0.030555555555555555
oracle_v3,Oracle v3,2,POSITIVE,327,360,0.9083333333333333
oracle_v3,Oracle v3,3,NEGATIVE,26,360,0.07222222222222222
oracle_v3,Oracle v3,3,NEUTRAL,45,360,0.125
oracle_v3,Oracle v3,3,POSITIVE,289,360,0.8027777777777778
oracle_v3,Oracle v3,4,NEGATIVE,54,360,0.15
oracle_v3,Oracle v3,4,NEUTRAL,25,360,0.06944444444444445
oracle_v3,Oracle v3,4,POSITIVE,281,360,0.7805555555555556
oracle_v3,Oracle v3,5,NEGATIVE,17,360,0.04722222222222222
oracle_v3,Oracle v3,5,POSITIVE,343,360,0.9527777777777777
oracle_v3,Oracle v3,6,NEGATIVE,78,360,0.21666666666666667
oracle_v3,Oracle v3,6,POSITIVE,282,360,0.7833333333333333
oracle_v3,Oracle v3,7,NEGATIVE,141,360,0.39166666666666666
oracle_v3,Oracle v3,7,POSITIVE,219,360,0.6083333333333333
oracle_v3,Oracle v3,8,NEGATIVE,138,360,0.38333333333333336
oracle_v3,Oracle v3,8,POSITIVE,222,360,0.6166666666666667
oracle_v3,Oracle v3,9,NEGATIVE,175,360,0.4861111111111111
oracle_v3,Oracle v3,9,POSITIVE,185,360,0.5138888888888888
oracle_v3,Oracle v3,10,NEGATIVE,87,360,0.24166666666666667
oracle_v3,Oracle v3,10,POSITIVE,273,360,0.7583333333333333
oracle_v3,Oracle v3,11,NEGATIVE,159,360,0.44166666666666665
oracle_v3,Oracle v3,11,POSITIVE,201,360,0.5583333333333333
oracle_v3,Oracle v3,12,NEGATIVE,63,360,0.175
oracle_v3,Oracle v3,12,NEUTRAL,3,360,0.008333333333333333
oracle_v3,Oracle v3,12,POSITIVE,294,360,0.8166666666666667
oracle_v3,Oracle v3,13,NEGATIVE,111,360,0.30833333333333335
oracle_v3,Oracle v3,13,POSITIVE,249,360,0.6916666666666667
oracle_v3,Oracle v3,14,NEGATIVE,89,360,0.24722222222222223
oracle_v3,Oracle v3,14,POSITIVE,271,360,0.7527777777777778
oracle_v3,Oracle v3,15,NEGATIVE,84,360,0.23333333333333334
oracle_v3,Oracle v3,15,POSITIVE,276,360,0.7666666666666667
oracle_v3,Oracle v3,16,NEGATIVE,61,360,0.16944444444444445
oracle_v3,Oracle v3,16,POSITIVE,299,360,0.8305555555555556
oracle_v3,Oracle v3,17,NEGATIVE,34,360,0.09444444444444444
oracle_v3,Oracle v3,17,POSITIVE,326,360,0.9055555555555556
