episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40
0,0,heuristic,120,431261.51343557396,36328912.491950825,44.582479032003874,168.90782217687718,3.7886592635556537,96,0.7545852694965045,18.5,0.23430783927883916,49,Time Limit,-1190.990564930468,-60.33465889135362,0.0
1,1,heuristic,120,318485.0766711859,18331904.411021758,159.51687787270646,462.11980509112914,2.8969963006666797,83,1.2997890418279345,24.5,0.18445156265058288,74,Time Limit,-1447.2525511395586,-78.27421611818444,0.0
2,2,heuristic,120,1545078.633659438,48533114.052246645,21.880205873206613,178.97538545703506,8.179785258611265,116,1.767365396068711,22.0,0.17475806160068458,91,Time Limit,-1311.509621155649,-50.93148453954533,0.0
3,3,heuristic,120,719876.3296306581,19900427.43971541,38.39581132256732,193.85987285091161,5.048984932816605,106,0.5561222371462791,29.5,0.17213252910524607,102,Time Limit,-1470.450110004404,-68.94887186422342,0.0
4,4,heuristic,120,2005610.7794816417,88632532.48495616,29.095849553093917,110.84299044453283,3.809580821562445,118,1.1126796031912818,24.5,0.19211783049142236,67,Time Limit,-1111.437710216598,-38.275626146862194,0.0
5,5,heuristic,120,1279688.2302556632,53537834.2544356,152.15840744540654,386.7246672747235,2.541592500654148,105,1.0958957440586217,30.0,0.17592620508306633,88,Time Limit,-1363.5731352939902,-48.40089209512869,0.0
6,6,heuristic,120,506122.3172036612,29709386.248874523,13.705498972842916,124.75985574146614,9.102905044805336,88,1.1097674951210392,23.0,0.18059413271687755,79,Time Limit,-1416.3572042896658,-61.65744978086861,0.0
7,7,heuristic,120,743213.6003094018,20485725.006311804,188.99659414864053,287.40377992504017,1.5206823235079312,103,1.1890573226200594,21.0,0.17767147017785367,84,Time Limit,-1338.2831473529895,-66.76268261465306,0.0
8,8,heuristic,120,693888.4619521339,24816105.642887577,52.60143824559759,94.14664095463336,1.7898111552589122,108,0.7187536380131576,23.5,0.17994770156311388,80,Time Limit,-1309.6643918932339,-64.70031907251077,0.0
9,9,heuristic,120,976376.1042479383,25997781.4648534,82.7548935131838,111.96761455219382,1.3530029439812656,103,0.4747429450578612,30.5,0.17260935922411302,99,Time Limit,-1416.6018188640217,-62.20801479720676,0.0
10,10,heuristic,120,521935.036531809,18798910.017297484,66.49589368690694,287.2172726851429,4.319323446309228,93,0.5361042681024472,25.5,0.17876177771828297,82,Time Limit,-1408.3823587591273,-70.05687075998476,0.0
11,11,heuristic,120,702968.4333910712,15863963.273106353,7.768111669473361,92.55051119961801,11.914158181236917,83,1.0718186604036979,28.5,0.17250191208115626,100,Time Limit,-1449.4409362594843,-69.3126610301916,0.0
12,12,heuristic,120,2235972.963340979,105971178.2852275,28.242146683635085,133.6935332505025,4.733830425431903,112,0.8370862531538332,17.5,0.2923045077119573,38,Time Limit,-928.5817986007372,-35.65279458990556,0.0
13,13,heuristic,120,626373.7998090094,24589925.203332286,37.244002023087674,184.05846833541594,4.941962687611216,100,1.3898805510810777,20.0,0.17554209116698533,89,Time Limit,-1424.5433452307404,-65.17106259334501,0.0
14,14,heuristic,120,1354627.106390879,73173320.40556479,159.6631873313514,145.85175073295594,0.9134964243840856,105,1.047015486536039,15.5,0.5180569093523866,20,Time Limit,-951.3374211844351,-43.40321202504757,0.0
15,15,heuristic,120,2040829.1932319228,76034074.86875767,14.497698187679896,160.68630483041443,11.08357359563225,110,0.6834004654703412,20.5,0.2125954077348266,56,Time Limit,-1065.9192756542072,-42.391058360622175,0.0
16,16,heuristic,120,1592478.7121334877,68400583.41487747,35.86143665060004,141.3864837786078,3.942577235712672,107,0.9318566411668558,25.0,0.18633521612893134,72,Time Limit,-1199.6708877626043,-43.172170685403245,0.0
17,17,heuristic,120,1798066.373860762,82616274.75010519,54.30106654936662,326.88902853951106,6.0199375318406885,103,0.9433129420857183,26.5,0.19348889099632452,66,Time Limit,-1180.9283364348357,-38.36171400499845,0.0
18,18,heuristic,120,3000543.5112834163,123002537.61371452,45.051340340633324,332.57120175094826,7.382048996464397,116,2.7611349364520064,12.5,0.5180569093523866,20,Time Limit,-759.7153413702417,-33.47370346171439,0.0
19,19,heuristic,120,1348587.8363559414,37344962.72161748,59.09947077130228,295.9970378479318,5.008454965584278,114,0.8132865533336602,27.0,0.17392204402827693,94,Time Limit,-1367.4297421473536,-56.59991413440983,0.0
20,20,heuristic,120,1704940.8925490417,81486890.85043164,36.01022855766716,195.9871593993968,5.4425413903036155,106,1.2453568693062362,23.5,0.19983955605110784,62,Time Limit,-1181.9477657171744,-39.10929714399708,0.0
21,21,heuristic,120,1152869.5803243162,53459766.369905904,33.91062273075173,170.00926389529744,5.013451544230272,105,1.2423822757097605,20.0,0.18844985915552456,70,Time Limit,-1243.449566978778,-48.291590853793494,0.0
22,22,heuristic,120,1211541.7884367018,47794076.51558431,39.90340999196964,160.23025137304643,4.0154525992964505,109,0.4767762113814657,24.5,0.17821831694867946,83,Time Limit,-1308.6165552395494,-50.767749991082425,0.0
23,23,heuristic,120,2445723.3153734286,124988143.31359501,103.19650853909208,150.87024143206312,1.4619704054707594,112,0.8298633040936363,16.5,0.3764489489365112,29,Time Limit,-857.8527143885408,-32.71855767121736,0.0
24,24,heuristic,120,1540593.4133359636,60062814.90176464,23.822829040526933,113.20406204007938,4.751915141879196,112,0.8577762752764508,25.5,0.20566555153594557,59,Time Limit,-1099.7133239880936,-46.45874519502624,0.0
25,25,heuristic,120,1923555.4262114132,60415651.05853342,68.76757495052821,303.1210151967617,4.407906130393992,114,1.1977005725418466,32.0,0.17994770156311388,80,Time Limit,-1244.8186690565349,-46.8139648954867,0.0
26,26,heuristic,120,870149.0751868978,17975972.087338295,65.05912688554875,262.74487313353137,4.038555168373978,94,0.9505789499765142,27.5,0.17392204402827693,94,Time Limit,-1460.033494630336,-68.32940124316549,0.0
27,27,heuristic,120,1211284.7919023843,28402151.292303428,96.25550540951882,388.1481197674902,4.03247708394564,108,1.5943640386863236,27.0,0.1763331897689981,87,Time Limit,-1316.388271176095,-60.69904817323182,0.0
28,28,heuristic,120,1172529.97297549,42541840.905336015,66.69431455471037,317.5053604973955,4.760606096895125,107,1.171483096985049,20.5,0.19494158668273473,65,Time Limit,-1213.3646824517882,-52.91570376673867,0.0
29,29,heuristic,120,1558674.4881146136,74931242.97869538,51.920013913129324,187.26870394524394,3.6068692943452425,110,0.8073999283754971,21.5,0.19082014711354175,68,Time Limit,-1169.0434241976802,-41.37941289640412,0.0
