episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40
0,0,random,46,287535.58149787167,-32720.89207980322,2684.8424364514267,790.6441771338605,0.2944843862714193,40,2.250072662719999,12.0,0.32842564956791886,31,Bankruptcy,-604.5974246562394,-105.85792962506376,0.0
1,1,random,96,730171.635016831,-77516.18784392881,55.02827879108855,486.93072161993547,8.848736182873132,102,1.0028366670633904,20.0,0.11834899927217948,85,Bankruptcy,-1292.6625397454707,-97.88260265851221,0.0
2,2,random,54,415018.97477815876,-60118.476028132485,142.96056680418837,1665.2443604272044,11.648277547109005,56,8.760000000000021,12.0,0.29388206295840774,34,Bankruptcy,-560.9342940820616,-103.05994914521965,0.0
3,3,random,120,845922.8064414622,3293577.0160077563,15.202889108908618,96.00477938802948,6.314903614719679,110,0.9626771155654261,25.0,0.12602142449860523,73,Time Limit,-1299.5237530999882,-91.3470384619984,0.0
4,4,random,120,939093.4992634859,1066755.603260267,311.39577566640867,130.50145191362822,0.41908549219829977,126,1.5172230458523643,22.0,0.13271009174734377,69,Time Limit,-1294.8800087555057,-100.01195034341687,0.0
5,5,random,24,187369.1531577283,-40596.66462299705,87.58355767498581,3310.1948564333497,37.794706498646306,27,9.700000000000017,8.0,1.0,5,Bankruptcy,-190.21699120482708,-129.22116378729473,0.0
6,6,random,64,501793.9393237418,-31993.269834702252,43.763538338341455,834.9409133606499,19.078459947767843,73,2.2890911859199976,12.5,0.3644174377190636,28,Bankruptcy,-667.7377329831554,-94.73547861894815,0.0
7,7,random,53,285705.4540027272,-45984.21666293783,40.52027898398189,813.507263366879,20.076546454393053,41,1.3296928587268104,16.5,0.1764265960205852,51,Bankruptcy,-741.6851579499902,-101.1402539349559,0.0
8,8,random,120,984894.8990588726,4542512.246396353,87.39929650017604,274.5410012139549,3.141226671239876,116,1.5504511412223991,22.0,0.12355449050058712,87,Time Limit,-1307.265822632709,-89.32098522938445,0.0
9,9,random,36,333984.49004819116,-39189.1947046197,28.9515211394351,929.0253055212185,32.08899805460604,42,5.4178190625000004,7.0,1.0,0,Bankruptcy,-295.50204159661746,-108.73709765803652,0.0
10,10,random,94,502473.5143319976,-129644.29574805277,37.92103506926145,93.72457218719636,2.4715720975445867,100,0.7224030117020435,18.5,0.19016786847177136,49,Bankruptcy,-1063.8413555652428,-96.15827844610982,0.0
