episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40
0,0,boardroom,120,589568.3460742389,44009330.14331893,126.25731898955092,336.77040157824763,2.6673336981448084,81,0.7545852694965045,18.5,0.12258047562878988,49,Time Limit,-1304.8109962692417,-52.95216378326233,0.0
1,1,boardroom,120,291597.5208326542,17404649.145705745,159.5168778727064,427.28469879226645,2.6786174885721956,83,1.2997890418279345,24.5,0.048454754345304704,74,Time Limit,-1457.801541520063,-81.15290157844825,0.0
2,2,boardroom,120,1686941.864409994,49716315.08197463,43.677568543075594,238.572448795414,5.4621275119774495,108,1.767365396068711,22.0,0.03189751142543813,91,Time Limit,-1350.324409385585,-50.4336493310495,0.0
3,3,boardroom,120,760773.3717479166,19647985.813903734,80.88793540975497,266.0904728241866,3.2896187976148594,99,0.5561222371462791,29.5,0.026767305596649447,102,Time Limit,-1516.0528470123586,-68.59381258851855,0.0
4,4,boardroom,120,2859789.5102828457,110396106.45241575,128.78612518305926,249.26944081579776,1.935530248009877,100,1.1126796031912818,24.5,0.06074643371400965,67,Time Limit,-1185.73579164397,-34.27287189974255,0.0
5,5,boardroom,120,1409450.8217536823,57997298.2430003,313.62659386866164,569.9454844766434,1.8172740947960593,95,1.0958957440586217,30.0,0.03387667173108399,88,Time Limit,-1410.456260346296,-46.23027433189348,0.0
6,6,boardroom,120,489329.53909505106,30969001.848117884,37.91836402983851,139.14371155307714,3.6695599906046303,84,1.1097674951210392,23.0,0.042017746493642066,79,Time Limit,-1455.620345977728,-60.57378027453378,0.0
7,7,boardroom,120,714006.432778758,19211921.17214451,276.24468703978994,334.1833861410114,1.2097368811762017,98,1.1890573226200594,21.0,0.03703691252348769,84,Time Limit,-1364.6195067288447,-67.9647573404219,0.0
8,8,boardroom,120,666603.647585996,24366782.30774165,73.55099859795287,99.84658275084813,1.3575149848968486,105,0.7187536380131576,23.5,0.040916859168959964,80,Time Limit,-1325.0176865863045,-65.11734814900093,0.0
9,9,boardroom,120,961405.8664246631,26864909.636639822,115.21199513792145,140.5362152549533,1.2198054125068833,96,0.4747429450578612,30.5,0.027893052161130714,99,Time Limit,-1451.6405769515748,-61.416898736240846,0.0
10,10,boardroom,120,500224.28685898473,18902391.40515356,115.8845341520305,334.7887420353349,2.888985527578003,88,0.5361042681024472,25.5,0.03887746539998636,82,Time Limit,-1438.7105890214834,-69.82093166293974,0.0
11,11,boardroom,120,651168.3587686421,14885802.886212498,25.53507924723489,99.87646438884335,3.9113434276754258,78,1.0718186604036979,28.5,0.02749839955307418,100,Time Limit,-1471.005192667123,-70.27310322739933,0.0
