episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40,oracle_refresh_requests,cadence_refreshes,event_refreshes,cache_hits,llm_calls
0,0,oracle_v2,120,1169404.3697571289,67557390.9869786,197.5329054663509,465.4716651374923,2.3564259536332486,77,0.7545852694965045,18.5,0.3836379258978096,49,Time Limit,-1298.0194258931062,-44.40779044515026,0.0,24,11,12,3,21
1,1,oracle_v2,120,643630.682729119,35978388.64443565,225.11432347119384,633.1271015941861,2.8124692015663877,79,1.2997890418279345,24.5,0.3160412537258691,74,Time Limit,-1467.5415333801798,-57.54196588276682,0.0,30,11,18,6,24
2,2,oracle_v2,120,4506371.899341212,114107645.0345929,101.5391936135068,404.5783877361713,3.9844553943981103,104,1.767365396068711,22.0,0.4392596032453594,91,Time Limit,-1292.2378124924635,-38.787102374416015,0.0,22,11,10,10,12
3,3,oracle_v2,120,2526667.9983197227,64729153.39733047,245.13083974998844,502.26121775855717,2.048951565094048,93,0.5561222371462791,29.5,0.40045928871613035,102,Time Limit,-1495.2325105172322,-48.658561202186775,0.0,33,11,21,17,16
4,4,oracle_v2,120,6468557.840111581,182371111.4515572,271.6113965438281,401.5218333866998,1.4782952353838692,95,1.1126796031912818,24.5,0.46460561542564094,67,Time Limit,-1122.5960498643417,-29.327216150474875,0.0,27,11,15,18,9
5,5,oracle_v2,120,4003927.5534219486,117704577.98605527,821.8128814609229,1053.211457389579,1.2815708796354017,90,1.0958957440586217,30.0,0.4345682323721426,88,Time Limit,-1386.2470314814218,-36.96281049050736,0.0,29,11,17,25,4
6,6,oracle_v2,120,1458131.804428881,63060623.53135286,91.97585911234728,221.73453677930132,2.410790602221563,80,1.1097674951210392,23.0,0.37646054336624035,79,Time Limit,-1485.0182512323975,-45.790950160380156,0.0,27,11,15,24,3
7,7,oracle_v2,120,1852344.0955817627,49044095.933574766,497.10278300849575,514.6372839931207,1.0352733913065324,96,1.1890573226200594,21.0,0.3784725662024714,84,Time Limit,-1343.9777574203747,-52.710789519596155,0.0,25,11,13,18,7
8,8,oracle_v2,120,1830595.547869745,56558179.45341647,195.96692318519584,185.28153228736792,0.9454734976487341,98,0.7187536380131576,23.5,0.38991327919125296,80,Time Limit,-1333.046919806113,-50.40237659280556,0.0,30,11,18,28,2
9,9,oracle_v2,120,2801655.7102932716,73132514.70419577,291.5786636926131,239.5605632774552,0.8215983990173019,94,0.4747429450578612,30.5,0.41148849657102665,99,Time Limit,-1434.0840353111153,-46.92137856911027,0.0,27,11,15,23,4
10,10,oracle_v2,120,1440725.3789669687,49138758.91894986,205.75049570529274,534.0236209352253,2.595491296896487,84,0.5361042681024472,25.5,0.36838278314565953,82,Time Limit,-1434.1379625847928,-51.83272972321065,0.0,31,11,19,26,5
11,11,oracle_v2,120,1556807.715027996,34228454.29076586,39.43147740579636,127.09400856320107,3.2231612134451364,96,1.0718186604036979,28.5,0.36369860914253316,100,Time Limit,-1432.2190808283838,-59.95382073050143,0.0,28,11,16,23,5
12,12,oracle_v2,120,6800390.460249452,216927617.85189378,398.95318240553104,522.7791677170109,1.310377234152784,86,0.8370862531538332,17.5,0.49265772066008157,38,Time Limit,-1038.7275065627866,-27.485032707913373,0.0,22,11,10,12,10
13,13,oracle_v2,120,2010595.9439664918,65346336.790948406,241.34991258453633,478.2540416269256,1.9815795104521123,85,1.3898805510810777,20.0,0.3896999011187641,89,Time Limit,-1489.5741014647379,-45.935078885165545,0.0,22,11,10,20,2
14,14,oracle_v2,120,3239054.5747169144,126859405.39278732,1013.9468930816325,434.6789289459356,0.4286998973139905,82,1.047015486536039,15.5,0.575201941658969,20,Time Limit,-1076.688622919093,-34.23830902513969,0.0,21,11,9,13,8
15,15,oracle_v2,120,4871531.803126773,137101677.77810347,89.94734434427684,370.9070386457035,4.123601884520824,96,0.6834004654703412,20.5,0.4507626249330542,56,Time Limit,-1067.4908596158189,-35.786370236719385,0.0,21,11,9,18,3
16,16,oracle_v2,120,5688182.288030196,149508650.9041208,329.211143669297,468.65048990520836,1.423555972868229,87,0.9318566411668558,25.0,0.4561119500830665,72,Time Limit,-1243.3825459099464,-33.7034020205772,0.0,26,11,14,25,1
17,17,oracle_v2,120,6227420.872346308,174625514.00713632,588.7157901701887,1359.0428052034322,2.3084870966524504,78,0.9433129420857183,26.5,0.4615742309328087,66,Time Limit,-1238.8394986680185,-29.36956119927526,0.0,28,11,16,25,3
18,18,oracle_v2,120,7638681.087948851,224631145.60725635,640.7164036489672,998.9489124338619,1.559112435306341,94,2.7611349364520064,12.5,0.5980008143374586,20,Time Limit,-776.1678538103137,-27.1695122213772,0.0,19,11,7,18,1
19,19,oracle_v2,120,3343943.8921381417,82130779.37482467,143.4132185545905,492.0235185584484,3.4308100990785504,109,0.8132865533336602,27.0,0.4198119205943229,94,Time Limit,-1339.5008825651526,-45.4050548023117,0.0,25,11,13,25,0
20,20,oracle_v2,120,5978109.986652919,171865071.0616952,464.2627795234419,840.3968458747523,1.8101749331217243,80,1.2453568693062362,23.5,0.45909523183405515,62,Time Limit,-1249.0329116679484,-29.10762640496529,0.0,26,11,14,25,1
21,21,oracle_v2,120,3824568.283628711,111845906.09475054,298.3573079241939,575.1102811959046,1.927589054872514,83,1.2423822757097605,20.0,0.43190327848600657,70,Time Limit,-1319.7625969147607,-35.91168116294622,0.0,24,11,12,21,3
22,22,oracle_v2,120,3513991.7045043255,103175150.78962417,140.15384274470748,331.588991621689,2.365892972522229,99,0.4767762113814657,24.5,0.4269925752446567,83,Time Limit,-1300.2681012860019,-38.84590808978266,0.0,27,11,15,26,1
23,23,oracle_v2,120,5693011.5805792995,198371080.69815186,994.7031733904626,444.2271254290095,0.446592649257219,90,0.8298633040936363,16.5,0.5170619714377483,29,Time Limit,-933.5141883604772,-27.45810071108444,0.0,22,11,10,17,5
24,24,oracle_v2,120,3992636.890097679,118258705.99283582,104.01977647132152,262.70747203898424,2.5255531299032667,98,0.8577762752764508,25.5,0.44144045481204264,59,Time Limit,-1109.415641907984,-37.26885575534145,0.0,26,11,14,25,1
25,25,oracle_v2,120,5095853.693762473,128276325.64480875,320.9157092591638,629.7222150792096,1.9622667164936483,103,1.1977005725418466,32.0,0.448790940746024,80,Time Limit,-1223.114172253896,-37.28735370503662,0.0,31,11,19,30,1
26,26,oracle_v2,120,1986336.0465909466,44700484.25194719,117.66230452360375,359.2155301866319,3.052936381290842,97,0.9505789499765142,27.5,0.38099637560234606,94,Time Limit,-1438.706658794342,-54.920425654961235,0.0,30,11,18,23,7
27,27,oracle_v2,120,2915984.531412728,65270387.01449365,275.889397296276,714.9428857712331,2.5914112422503144,100,1.5943640386863236,27.0,0.4089270921060301,87,Time Limit,-1320.5180232624568,-49.127166195789385,0.0,26,11,14,23,3
