episode,steps,final_mrr,final_cash,final_cac,final_ltv,final_headcount,interest_rate,consumer_confidence,competitors,quality,cause,total_reward
0,120,4069673.9858113453,153706814.32494512,143.85217384264612,4498.42555105713,119,20.909007347895674,-31.344889939046354,27,0.1,Time Limit,-625.5311856750549
1,120,2289488.625905312,59829333.387586504,176.6541512113213,4498.42555105713,111,14.993528401393986,-158.41830479247287,26,0.1,Time Limit,-726.2866666124139
2,120,2469697.8559145597,67230522.68038376,174.93477844130481,4498.42555105713,118,13.57096103989766,-130.54920522161189,34,0.1,Time Limit,-712.8794773196162
3,120,2218313.332080859,56119806.33561541,270.1729914473513,4498.42555105713,110,10.91617618619729,-249.602040467949,33,0.1,Time Limit,-730.7341936643846
4,120,2162198.0051692617,55748848.0615511,237.36383871795763,4498.42555105713,111,15.904433847992992,-104.9619995108709,38,0.1,Time Limit,-730.3751519384488
5,120,2365291.2099139765,63351797.41041188,210.76309148147408,4498.42555105713,116,11.137709572579693,-84.09043267887671,25,0.1,Time Limit,-713.5142025895883
6,120,1929102.4480294434,45000161.44848015,200.69132332706496,4498.42555105713,105,13.715402743220185,-27.13521423518884,37,0.1,Time Limit,-745.6638385515197
7,120,2427187.7624020344,64982503.50338161,310.4206876452658,4498.42555105713,115,11.55846531748192,-193.54862980247532,32,0.1,Time Limit,-717.7014964966183
8,120,2169603.9031437123,54269177.44976776,433.9555920448964,4498.42555105713,110,10.754856406084496,-213.7204008770163,27,0.1,Time Limit,-732.5928225502322
9,120,2957279.9260280714,93213480.47961822,263.11497640682086,4498.42555105713,120,12.193279234489903,-46.57696202401417,33,0.1,Time Limit,-685.1005195203824
10,120,2502943.549775033,70520120.63191397,833.2431726383755,4498.42555105713,118,30.006104132184674,-81.32688276583244,57,0.1,Time Limit,-709.5498793680857
11,120,3037032.741723208,100245063.94794787,539.1880851169101,4498.42555105713,118,14.683658116503448,-111.41863126387005,27,0.1,Time Limit,-679.8889360520519
12,120,2690575.8699135846,82067051.84276138,566.0227706667387,4498.42555105713,117,19.958363681486865,-85.80984826939812,28,0.1,Time Limit,-698.9649481572383
13,120,2084103.5982261766,51892842.61731469,415.01290001292574,4498.42555105713,107,7.995326874938816,-123.00641317552522,34,0.1,Time Limit,-737.3271573826853
14,120,2171229.29878396,55368063.17160044,296.31961426949266,4498.42555105713,108,13.598657838157692,-16.133187406913173,26,0.1,Time Limit,-733.2019368283995
15,120,2506040.9016968766,69576317.82166821,228.64087836149372,4498.42555105713,117,14.106410594979403,-134.72153588904993,26,0.1,Time Limit,-711.399682178332
16,120,2982315.472939145,98114055.00019798,184.49791547272537,4498.42555105713,117,21.87174933777062,-6.656275074133122,29,0.1,Time Limit,-682.8859449998022
17,120,1977057.0315206605,47035457.54728843,453.40538277397866,4498.42555105713,107,22.35333648828162,-276.6506077390626,32,0.1,Time Limit,-742.0565424527123
18,120,2478234.9215147765,68942151.765905,169.84844467817862,4498.42555105713,117,22.86958146254614,-89.96851621022836,28,0.1,Time Limit,-712.081848234095
19,120,2282305.1789015555,61118934.986751996,571.8843515636283,4498.42555105713,110,12.053425286130542,-136.3640356278776,35,0.1,Time Limit,-725.7770650132475
20,120,2179621.488426146,56569927.89840546,217.9664850916776,4498.42555105713,110,14.301118577075371,-63.97448090937524,23,0.1,Time Limit,-730.3320721015947
21,120,2165632.0194328083,55731030.92917783,452.08654930667586,4498.42555105713,107,15.340583946270689,-161.5266747685997,23,0.1,Time Limit,-733.5469690708219
22,120,2249241.4195778626,59024592.09646914,242.563259873324,4498.42555105713,115,14.668255491057801,-5.4734052103936985,17,0.1,Time Limit,-716.6114079035308
23,120,2318777.751019891,63637212.64606782,225.14754007600337,4498.42555105713,111,17.73709296925466,-126.55602129211336,25,0.1,Time Limit,-722.494787353932
24,120,2108544.1054065125,52168188.74786697,365.06778197426524,4498.42555105713,109,10.48761954748865,-76.44107058646145,28,0.1,Time Limit,-735.585811252133
25,120,2303945.850620755,60926729.38191266,308.02196107291775,4498.42555105713,112,19.647081457387117,-110.81483928405076,30,0.1,Time Limit,-724.1952706180871
26,120,3377360.117396114,118915141.55445525,440.94064232327753,4498.42555105713,120,13.63255943956646,-2.0692307466764657,28,0.1,Time Limit,-654.3908584455445
27,120,1828634.7379997745,40787892.92821429,659.9738072150119,4498.42555105713,102,9.157229414143885,-134.6166778048949,36,0.1,Time Limit,-752.3801070717858
28,120,2354358.731796159,63545983.49014932,491.2458338346215,4498.42555105713,112,12.170289469120373,-44.67531078106846,27,0.1,Time Limit,-721.7520165098506
29,120,2429211.4663055395,67001214.74703322,350.5126961836756,4498.42555105713,117,13.745385237212009,-20.608114921701805,36,0.1,Time Limit,-714.0387852529667
30,120,2797257.90289757,84656157.16048892,335.9556829568039,4498.42555105713,118,16.373633394093435,-176.66888427003505,36,0.1,Time Limit,-695.4858428395114
31,120,2448690.483266203,68207158.43263677,411.92120253420705,4498.42555105713,116,15.748385825812932,-170.0964126605403,40,0.1,Time Limit,-713.698841567363
32,120,2616376.929336212,76458297.71028928,220.6408290544778,4498.42555105713,119,13.563652640291524,-104.25473496441919,31,0.1,Time Limit,-702.761702289711
