scenario_id,scenario_label,policy,episode,seed,shock_month,shock_label,pre_shock_rule_40,recovery_month,recovery_time_months,recovered
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-26.654799492060302,,,False
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-31.41608676912118,51.0,3.0,True
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-36.70234906598932,,,False
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,1,1,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-33.2812530959193,31.0,7.0,True
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,1,1,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-34.26668891551563,,,False
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,1,1,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-47.65863733739222,73.0,1.0,True
oracle_v1_weights_only,Oracle v1 Weights Only,oracle_v1,0,0,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-38.61556600390571,,,False
oracle_v1_weights_only,Oracle v1 Weights Only,oracle_v1,0,0,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-47.55437214084422,51.0,3.0,True
oracle_v1_weights_only,Oracle v1 Weights Only,oracle_v1,0,0,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-55.23703519973766,,,False
oracle_v1_weights_only,Oracle v1 Weights Only,oracle_v1,1,1,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-39.80896731435322,35.0,11.0,True
oracle_v1_weights_only,Oracle v1 Weights Only,oracle_v1,1,1,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-44.58222169707387,,,False
oracle_v1_weights_only,Oracle v1 Weights Only,oracle_v1,1,1,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-56.77302823868895,73.0,1.0,True
oracle_v3_full,Oracle v3 Full,oracle_v3,0,0,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-26.64728439824702,,,False
oracle_v3_full,Oracle v3 Full,oracle_v3,0,0,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-32.25480362660644,51.0,3.0,True
oracle_v3_full,Oracle v3 Full,oracle_v3,0,0,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-36.12885803972398,,,False
oracle_v3_full,Oracle v3 Full,oracle_v3,1,1,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-33.53661796251461,25.0,1.0,True
oracle_v3_full,Oracle v3 Full,oracle_v3,1,1,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-32.62448922724244,,,False
oracle_v3_full,Oracle v3 Full,oracle_v3,1,1,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-45.310468867861246,73.0,1.0,True
oracle_v3_no_memory,Oracle v3 No Memory,oracle_v3,0,0,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-27.28704013185945,,,False
oracle_v3_no_memory,Oracle v3 No Memory,oracle_v3,0,0,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-33.64289781486864,51.0,3.0,True
oracle_v3_no_memory,Oracle v3 No Memory,oracle_v3,0,0,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-36.79859340088867,,,False
oracle_v3_no_memory,Oracle v3 No Memory,oracle_v3,1,1,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-34.284881772877554,25.0,1.0,True
oracle_v3_no_memory,Oracle v3 No Memory,oracle_v3,1,1,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-35.34321779707239,,,False
oracle_v3_no_memory,Oracle v3 No Memory,oracle_v3,1,1,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-46.661898491337745,73.0,1.0,True
