scenario_id,scenario_label,policy,episode,seed,month,used_oracle,oracle_mode,refresh_reason,brief_source,shock_label,brief_risk_level,brief_growth_outlook,brief_efficiency_pressure,brief_innovation_urgency,brief_macro_condition,brief_expected_outcome,brief_confidence,action_modifier_applied,memory_count,marketing_spend_pre_modifier,marketing_spend_post_modifier,marketing_spend_final,rd_spend_pre_modifier,rd_spend_post_modifier,rd_spend_final,hires_pre_modifier,hires_post_modifier,hires_final,marketing_spend_change_pct,rd_spend_change_pct,hires_change
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,0,True,oracle_v3,initial,llm,,LOW,ACCELERATING,LOW,LOW,EXPANSION,GROWTH,0.85,True,3,20000,32760.000000000004,32760.000000000004,9440.0,8028.72,20000.0,1,1,1,63.800000000000026,-14.949999999999996,0
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,1,True,oracle_v3,,reuse,NO_SHOCK,LOW,ACCELERATING,LOW,LOW,EXPANSION,GROWTH,0.85,True,3,20000,32760.000000000004,32760.000000000004,9440.0,8028.72,20000.0,1,1,1,63.800000000000026,-14.949999999999996,0
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,2,True,oracle_v3,event,llm,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,GROWTH,0.85,True,3,20000,31200.0,31200.0,9440.0,11894.4,20000.0,1,1,1,56.00000000000001,25.999999999999996,0
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,3,True,oracle_v3,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,GROWTH,0.85,True,3,20000,31200.0,31200.0,9440.0,11894.4,20000.0,1,1,1,56.00000000000001,25.999999999999996,0
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,4,True,oracle_v3,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,GROWTH,0.85,True,3,20000,31200.0,31200.0,9440.0,11894.4,20000.0,1,1,1,56.00000000000001,25.999999999999996,0
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,5,True,oracle_v3,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,GROWTH,0.85,True,3,20000,31200.0,31200.0,9440.0,11894.4,20000.0,0,0,0,56.00000000000001,25.999999999999996,0
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,6,True,oracle_v3,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,GROWTH,0.85,True,3,20000,31200.0,31200.0,9536.0,12015.36,20000.0,1,1,1,56.00000000000001,26.000000000000007,0
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,7,True,oracle_v3,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,GROWTH,0.85,True,3,20000,31200.0,31200.0,9536.0,12015.36,20000.0,0,0,0,56.00000000000001,26.000000000000007,0
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,8,True,oracle_v3,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,GROWTH,0.85,True,3,20000,31200.0,31200.0,9536.0,12015.36,20000.0,0,0,0,56.00000000000001,26.000000000000007,0
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,9,True,oracle_v3,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,GROWTH,0.85,True,3,20000,31200.0,31200.0,9651.199999999999,12160.511999999999,20000.0,1,1,1,56.00000000000001,26.0,0
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,10,True,oracle_v3,cadence,llm,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,GROWTH,0.85,True,3,20000,31200.0,31200.0,9651.199999999999,12160.511999999999,20000.0,1,1,1,56.00000000000001,26.0,0
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,11,True,oracle_v3,event,llm,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,GROWTH,0.85,True,3,20000,31200.0,31200.0,9651.199999999999,12160.511999999999,20000.0,1,1,1,56.00000000000001,26.0,0
