scenario_id,scenario_label,policy,episode,seed,month,reward,rule_of_40,shock_label,terminated,truncated,mrr,cash,innovation_factor,unemployment,months_in_depression,brief_risk_level,brief_source
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,0,-6.920484786974692,-40.01980220561833,NO_SHOCK,False,False,79515.21302530856,1000755.2130253087,1.0,4.0,0,LOW,llm
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,1,-6.88094685730925,-23.151288912506907,NO_SHOCK,False,False,119053.14269074964,1033048.3557160583,1.0,5.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,2,-6.876907017631433,-72.32181267435325,NO_SHOCK,False,False,123092.98236856666,1062941.3380846248,1.0,5.0,0,LOW,llm
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,3,-6.8718624955144705,-74.87951846372553,NO_SHOCK,False,False,128137.50448552943,1089878.8425701542,1.0,5.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,4,-6.858679530745631,-66.98304496912412,NO_SHOCK,False,False,141320.46925436944,1121999.3118245236,1.0,5.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,5,-6.835011050366619,-43.37714811631262,NO_SHOCK,False,False,164988.94963338124,1187788.261457905,1.0,5.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,6,-6.8196170432424665,-55.64255271489699,NO_SHOCK,False,False,180382.95675753322,1250971.218215438,1.0,5.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,7,-6.802094459722216,-44.45315416966541,NO_SHOCK,False,False,197905.54027778373,1341676.7584932218,1.0,5.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,8,-6.757358213474483,-21.575506061032947,NO_SHOCK,False,False,242641.7865255164,1477118.5450187381,1.0,5.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,9,-6.734805990626645,-37.91626817087419,NO_SHOCK,False,False,265194.0093733545,1617112.5543920926,1.0,5.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,10,-6.71709721453477,-40.405643375503246,NO_SHOCK,False,False,282902.78546522954,1766815.3398573222,1.0,6.0,0,LOW,llm
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,11,-6.6968389503585195,-39.415047090677625,NO_SHOCK,False,False,303161.0496414806,1928776.3894988028,1.0,6.0,0,LOW,llm
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,12,-6.679267668936102,-40.72251861563707,NO_SHOCK,False,False,320732.33106389793,2100308.7205627006,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,13,-6.6607029325381,-35.2377620577098,NO_SHOCK,False,False,339297.0674619003,2300405.788024601,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,14,-6.649574400574095,-41.57985773140513,NO_SHOCK,False,False,350425.599425905,2493631.387450506,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,15,-6.631887204031467,-39.83020173453077,NO_SHOCK,False,False,368112.7959685331,2696544.183419039,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,16,-6.605908108376134,-36.89176701425441,NO_SHOCK,False,False,394091.89162386564,2917436.075042905,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,17,-6.567243347782865,-32.87326992449661,NO_SHOCK,False,False,432756.65221713495,3165473.2648600396,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,18,-6.541402341614392,-36.052391603002036,NO_SHOCK,False,False,458597.65838560864,3431351.4608456483,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,19,-6.513527967881068,-35.1820503165566,NO_SHOCK,False,False,486472.0321189323,3717104.0305645806,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,20,-8.464924755697453,-29.016540341943454,NO_SHOCK,False,False,535075.2443025467,4043459.8124671276,1.0,6.0,0,LOW,llm
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,21,-6.430396567946753,-31.67703477058936,NO_SHOCK,False,False,569603.4320532478,4395873.489640376,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,22,-6.38076816149657,-27.65318481790535,NO_SHOCK,False,False,619231.8385034304,4789915.573263806,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,23,-6.353005329645397,-31.558559133614494,NO_SHOCK,False,False,646994.6703546032,5203720.488738409,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,24,-8.315832921327466,-29.507652539328618,"RATE_HIKE: +400bps, valuation -40%, confidence crash",False,False,684167.0786725337,5646697.812530943,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,25,-8.295107738301624,-31.97751061349991,NO_SHOCK,False,False,704892.2616983767,6104830.07422932,1.0,6.0,0,LOW,llm
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,26,-8.272098594389039,-31.735038313709182,NO_SHOCK,False,False,727901.4056109601,6577971.47984028,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,27,-8.254270104119232,-32.7859775825762,NO_SHOCK,False,False,745729.8958807687,7060941.375721049,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,28,-8.229437707807083,-31.808031745228178,NO_SHOCK,False,False,770562.2921929172,7560743.667913966,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,29,-8.21395448617456,-33.45425462913078,NO_SHOCK,False,False,786045.5138254403,8068029.181739407,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,30,-8.194656547277013,-32.95839594909239,NO_SHOCK,False,False,805343.4527229873,8588172.634462394,1.0,6.0,0,LOW,llm
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,31,-8.169489008831334,-32.17849751037918,NO_SHOCK,False,False,830510.9911686648,9125483.625631059,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,32,-8.137164300219382,-31.01600528121342,NO_SHOCK,False,False,862835.6997806176,9687119.325411675,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,33,-8.111499773953174,-31.825776699406724,NO_SHOCK,False,False,888500.226046826,10266419.551458502,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,34,-8.073523510808855,-29.963043772053183,NO_SHOCK,False,False,926476.4891911461,10875696.040649649,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,35,-8.03021356151072,-28.858461162000516,NO_SHOCK,False,False,969786.4384892785,11520282.479138928,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,36,-8.011815566226034,-31.821283785304324,NO_SHOCK,False,False,988184.4337739676,12175266.912912896,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,37,-7.967894212180565,-28.6139752657085,NO_SHOCK,False,False,1032105.787819435,12866172.700732332,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,38,-7.9132451506733155,-27.005328186670358,NO_SHOCK,False,False,1086754.8493266848,13601903.15686964,1.0,6.0,0,LOW,llm
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,39,-7.8878624357850295,-29.946729557847977,NO_SHOCK,False,False,1112137.564214971,14355016.327895235,1.0,6.0,0,LOW,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,40,-7.861650429524299,-30.34124156517494,NO_SHOCK,False,False,1138349.570475701,15121146.707451768,1.0,7.0,0,LOW,llm
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,41,-7.85200097530575,-32.33558283922778,NO_SHOCK,False,False,1147999.0246942495,15888202.306720985,1.0,7.0,0,MEDIUM,llm
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,42,-7.839101078840091,-32.55182029344487,NO_SHOCK,False,False,1160898.921159909,16658162.646568388,1.0,7.0,0,MEDIUM,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,43,-7.836896456163763,-34.13176513365593,NO_SHOCK,False,False,1163103.5438362372,17422069.611162804,1.0,8.0,0,MEDIUM,reuse
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,44,-7.831874818932864,-33.39150137227771,NO_SHOCK,False,False,1168125.181067136,18195096.938483402,1.0,8.0,0,MEDIUM,llm
