scenario_id,scenario_label,policy,episode,seed,month,retrieval_rank,document,source_month,stored_global_month,realized_outcome,outcome_bucket,memory_weight,similarity_score,recency_factor
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,0,1,"Episode month 72: MRR 1,390,082, avg churn 0.136, innovation 1.000. Trends were MRR FLAT, innovation FLAT, churn INCREASING. After 6 months the realized outcome was DECLINE.",72,78,DECLINE,NEGATIVE,0.503775750185311,0.6800972627501698,0.7407407407407407
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,0,2,"Episode month 46: MRR 1,054,007, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",46,52,GROWTH,POSITIVE,0.4343118370426499,0.6804218780334849,0.6382978723404256
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,0,3,"Episode month 44: MRR 1,029,652, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",44,50,GROWTH,POSITIVE,0.42931086753094677,0.6797422069239991,0.631578947368421
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,1,1,"Episode month 72: MRR 1,390,082, avg churn 0.136, innovation 1.000. Trends were MRR FLAT, innovation FLAT, churn INCREASING. After 6 months the realized outcome was DECLINE.",72,78,DECLINE,NEGATIVE,0.503775750185311,0.6800972627501698,0.7407407407407407
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,1,2,"Episode month 46: MRR 1,054,007, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",46,52,GROWTH,POSITIVE,0.4343118370426499,0.6804218780334849,0.6382978723404256
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,1,3,"Episode month 44: MRR 1,029,652, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",44,50,GROWTH,POSITIVE,0.42931086753094677,0.6797422069239991,0.631578947368421
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,2,1,"Episode month 46: MRR 1,054,007, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",46,52,GROWTH,POSITIVE,0.42636549864918116,0.6750787061945369,0.631578947368421
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,2,2,"Episode month 44: MRR 1,029,652, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",44,50,GROWTH,POSITIVE,0.42265408413669076,0.6762465346187052,0.625
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,2,3,"Episode month 39: MRR 930,195, avg churn 0.051, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn INCREASING. After 6 months the realized outcome was GROWTH.",39,45,GROWTH,POSITIVE,0.41772100484526636,0.6857586496209789,0.6091370558375635
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,3,1,"Episode month 46: MRR 1,054,007, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",46,52,GROWTH,POSITIVE,0.42636549864918116,0.6750787061945369,0.631578947368421
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,3,2,"Episode month 44: MRR 1,029,652, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",44,50,GROWTH,POSITIVE,0.42265408413669076,0.6762465346187052,0.625
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,3,3,"Episode month 39: MRR 930,195, avg churn 0.051, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn INCREASING. After 6 months the realized outcome was GROWTH.",39,45,GROWTH,POSITIVE,0.41772100484526636,0.6857586496209789,0.6091370558375635
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,4,1,"Episode month 46: MRR 1,054,007, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",46,52,GROWTH,POSITIVE,0.42636549864918116,0.6750787061945369,0.631578947368421
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,4,2,"Episode month 44: MRR 1,029,652, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",44,50,GROWTH,POSITIVE,0.42265408413669076,0.6762465346187052,0.625
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,4,3,"Episode month 39: MRR 930,195, avg churn 0.051, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn INCREASING. After 6 months the realized outcome was GROWTH.",39,45,GROWTH,POSITIVE,0.41772100484526636,0.6857586496209789,0.6091370558375635
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,5,1,"Episode month 46: MRR 1,054,007, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",46,52,GROWTH,POSITIVE,0.42636549864918116,0.6750787061945369,0.631578947368421
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,5,2,"Episode month 44: MRR 1,029,652, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",44,50,GROWTH,POSITIVE,0.42265408413669076,0.6762465346187052,0.625
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,5,3,"Episode month 39: MRR 930,195, avg churn 0.051, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn INCREASING. After 6 months the realized outcome was GROWTH.",39,45,GROWTH,POSITIVE,0.41772100484526636,0.6857586496209789,0.6091370558375635
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,6,1,"Episode month 46: MRR 1,054,007, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",46,52,GROWTH,POSITIVE,0.42636549864918116,0.6750787061945369,0.631578947368421
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,6,2,"Episode month 44: MRR 1,029,652, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",44,50,GROWTH,POSITIVE,0.42265408413669076,0.6762465346187052,0.625
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,6,3,"Episode month 39: MRR 930,195, avg churn 0.051, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn INCREASING. After 6 months the realized outcome was GROWTH.",39,45,GROWTH,POSITIVE,0.41772100484526636,0.6857586496209789,0.6091370558375635
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,7,1,"Episode month 46: MRR 1,054,007, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",46,52,GROWTH,POSITIVE,0.42636549864918116,0.6750787061945369,0.631578947368421
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,7,2,"Episode month 44: MRR 1,029,652, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",44,50,GROWTH,POSITIVE,0.42265408413669076,0.6762465346187052,0.625
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,7,3,"Episode month 39: MRR 930,195, avg churn 0.051, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn INCREASING. After 6 months the realized outcome was GROWTH.",39,45,GROWTH,POSITIVE,0.41772100484526636,0.6857586496209789,0.6091370558375635
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,8,1,"Episode month 46: MRR 1,054,007, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",46,52,GROWTH,POSITIVE,0.42636549864918116,0.6750787061945369,0.631578947368421
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,8,2,"Episode month 44: MRR 1,029,652, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",44,50,GROWTH,POSITIVE,0.42265408413669076,0.6762465346187052,0.625
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,8,3,"Episode month 39: MRR 930,195, avg churn 0.051, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn INCREASING. After 6 months the realized outcome was GROWTH.",39,45,GROWTH,POSITIVE,0.41772100484526636,0.6857586496209789,0.6091370558375635
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,9,1,"Episode month 46: MRR 1,054,007, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",46,52,GROWTH,POSITIVE,0.42636549864918116,0.6750787061945369,0.631578947368421
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,9,2,"Episode month 44: MRR 1,029,652, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",44,50,GROWTH,POSITIVE,0.42265408413669076,0.6762465346187052,0.625
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,9,3,"Episode month 39: MRR 930,195, avg churn 0.051, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn INCREASING. After 6 months the realized outcome was GROWTH.",39,45,GROWTH,POSITIVE,0.41772100484526636,0.6857586496209789,0.6091370558375635
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,10,1,"Episode month 4: MRR 128,138, avg churn 0.030, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",4,130,GROWTH,POSITIVE,0.7007507024698314,0.7007507024698314,1.0
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,10,2,"Episode month 112: MRR 38,161, avg churn 0.769, innovation 0.365. Trends were MRR DECREASING, innovation FLAT, churn INCREASING. After 6 months the realized outcome was DECLINE.",112,118,DECLINE,NEGATIVE,0.6352439674977369,0.6987683642475107,0.9090909090909091
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,10,3,"Episode month 105: MRR 144,258, avg churn 0.540, innovation 0.396. Trends were MRR DECREASING, innovation DECREASING, churn INCREASING. After 6 months the realized outcome was DECLINE.",105,111,DECLINE,NEGATIVE,0.6055257039826282,0.701400607113211,0.8633093525179857
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,11,1,"Episode month 44: MRR 1,029,652, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",44,50,GROWTH,POSITIVE,0.40250377009249944,0.6741938149049366,0.5970149253731343
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,11,2,"Episode month 39: MRR 930,195, avg churn 0.051, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn INCREASING. After 6 months the realized outcome was GROWTH.",39,45,GROWTH,POSITIVE,0.39537493929606604,0.6787269791249134,0.5825242718446602
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,11,3,"Episode month 37: MRR 903,349, avg churn 0.046, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",37,43,GROWTH,POSITIVE,0.39205743963638695,0.6795662287030708,0.5769230769230769
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,12,1,"Episode month 44: MRR 1,029,652, avg churn 0.057, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",44,50,GROWTH,POSITIVE,0.40250377009249944,0.6741938149049366,0.5970149253731343
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,12,2,"Episode month 39: MRR 930,195, avg churn 0.051, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn INCREASING. After 6 months the realized outcome was GROWTH.",39,45,GROWTH,POSITIVE,0.39537493929606604,0.6787269791249134,0.5825242718446602
oracle_v3_case_study,Oracle v3 Case Study,oracle_v3,1,1,12,3,"Episode month 37: MRR 903,349, avg churn 0.046, innovation 1.000. Trends were MRR INCREASING, innovation FLAT, churn FLAT. After 6 months the realized outcome was GROWTH.",37,43,GROWTH,POSITIVE,0.39205743963638695,0.6795662287030708,0.5769230769230769
