scenario_id,scenario_label,policy,episode,seed,month,reward,rule_of_40,shock_label,terminated,truncated,mrr,cash,innovation_factor,unemployment,months_in_depression,brief_risk_level,brief_source
boardroom,Boardroom Baseline,boardroom,0,0,0,-6.934036238766207,-68.12741491853066,NO_SHOCK,False,False,65963.7612337934,999963.7612337933,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,1,-6.923697262586434,-81.30838237028405,NO_SHOCK,False,False,76302.73741356566,1002266.498647359,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,2,-6.9165072634263565,-88.78914621200879,NO_SHOCK,False,False,83492.73657364363,1003759.2352210027,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,3,-6.885052342797346,-40.62266582555357,NO_SHOCK,False,False,114947.65720265433,1028706.892423657,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,4,-6.857553962492877,-44.87545903302822,NO_SHOCK,False,False,142446.03750712355,1073152.9299307805,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,5,-6.851017198161415,-54.47827965481926,NO_SHOCK,False,False,148982.80183858506,1134135.7317693657,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,6,-6.822202261821012,-30.15332702272318,NO_SHOCK,False,False,177797.73817898822,1223933.469948354,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,7,-6.797113961560056,-38.13549443874613,NO_SHOCK,False,False,202886.0384399437,1320819.5083882976,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,8,-6.78653957188067,-39.76122200984422,NO_SHOCK,False,False,213460.4281193296,1438279.9365076271,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,9,-6.765414584970104,-38.69992985510329,NO_SHOCK,False,False,234585.41502989584,1558865.3515375229,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,10,-6.752219458363334,-43.61224810089335,NO_SHOCK,False,False,247780.54163666585,1684645.8931741887,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,11,-6.744285484225452,-40.59682665128391,NO_SHOCK,False,False,255714.51577454744,1828360.408948736,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,12,-6.735272242333103,-45.582324605413895,NO_SHOCK,False,False,264727.75766689744,1963088.1666156335,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,13,-6.726422425602894,-47.09974319247145,NO_SHOCK,False,False,273577.57439710636,2098665.74101274,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,14,-6.69533736302416,-30.651253997917955,NO_SHOCK,False,False,304662.6369758393,2275328.377988579,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,15,-6.6652553905031695,-33.7414767581814,NO_SHOCK,False,False,334744.6094968302,2464072.9874854092,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,16,-6.6527388858961745,-40.60791216327538,NO_SHOCK,False,False,347261.11410382565,2657334.101589235,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,17,-6.641499117081191,-41.951482347324244,NO_SHOCK,False,False,358500.88291881,2853834.984508045,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,18,-6.620003329954148,-38.74121344557463,NO_SHOCK,False,False,379996.6700458516,3063831.6545538967,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,19,-6.600425301592619,-39.395207288107876,NO_SHOCK,False,False,399574.69840738096,3285406.3529612776,1.0,4.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,20,-6.5697942829476705,-35.56922429367029,NO_SHOCK,False,False,430205.7170523289,3529612.0700136065,1.0,5.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,21,-6.5587961920366595,-41.41413619280075,NO_SHOCK,False,False,441203.80796334014,3776815.8779769465,1.0,5.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,22,-6.545103617712469,-41.302259089161694,NO_SHOCK,False,False,454896.3822875307,4029712.2602644768,1.0,5.0,0,,none
boardroom,Boardroom Baseline,boardroom,0,0,23,-6.521234214937347,-38.61556600390571,NO_SHOCK,False,False,478765.78506265295,4298478.04532713,1.0,5.0,0,,none
