episode,steps,final_mrr,final_cash,final_cac,final_ltv,final_headcount,interest_rate,consumer_confidence,competitors,quality,cause,total_reward
0,45,401605.21666349744,-12678.199353497534,41.80522239987595,3749.772121637428,52,12.098186991141297,33.982559937478996,7,0.1,Bankruptcy,-339.6777160089966
1,120,1840926.3641639808,37788007.44872026,577.2030587158464,4641.5031086918125,121,19.35134413636819,-73.56850940474703,29,0.1,Time Limit,-779.6213623824576
2,26,204493.68297569358,-595.676801526366,256.0225960091379,3809.186424934752,29,5.6064276025213715,49.858870193641394,7,0.1,Bankruptcy,-243.58502675890566
3,66,523181.2386318402,-34257.84850991052,796.6525084532415,5890.958313709282,68,9.624914145770278,-113.76365181218482,23,0.1,Bankruptcy,-484.2500386624342
4,26,252258.37411788295,-21777.436733944982,129.65942101656248,5716.009646376164,33,5.7081315305403,100.0,10,0.1,Bankruptcy,-198.52981763429602
5,120,1474199.8829885148,8219316.588977201,501.9336668272093,4331.113612650071,128,17.359696001060907,-50.873166363268794,22,0.1,Time Limit,-801.1317171807457
6,120,2015471.9127962205,46832063.71114816,291.2545690941154,6132.016267843812,120,13.48548863705065,-39.52697301823837,29,0.1,Time Limit,-766.3666143099584
7,120,1279086.9088926583,14207325.820413444,375.38649674328224,4530.990264989151,123,17.883598078723804,-43.41823834655432,21,0.1,Time Limit,-853.9406373331749
8,120,1564053.3102707223,11990584.27863393,184.76138445173729,3650.2780072988603,124,18.20102856567223,-101.71902337890245,30,0.1,Time Limit,-839.0967206570637
9,120,1479626.2709587622,18445175.847914647,277.5724787378623,3253.4272599174433,112,16.264986369932174,-191.9622673083279,30,0.1,Time Limit,-788.3386596984909
10,120,1250649.1335817962,7904687.235392088,197.12647231779266,2685.4614726165714,123,14.165871774736743,-104.69364911309344,40,0.1,Time Limit,-832.9115390288638
11,120,1270317.9397425978,13848128.905362485,72.10367559312192,4407.153834123089,101,22.19731651797117,-10.099412175427233,25,0.1,Time Limit,-822.9122543269485
12,30,196133.36912310997,-12558.545355324866,265.69079561044697,3263.9881471403805,31,8.384322235318537,38.53143799124296,11,0.1,Bankruptcy,-266.5268302186066
13,120,1314923.9341451447,16806159.020693988,733.0073282521507,2858.0144026542644,111,11.52100790887995,-160.4424891352373,34,0.1,Time Limit,-830.6199751885167
14,120,1377544.0226115063,18139187.526963517,1154.5952227720397,5487.280982893419,109,15.147084606101025,-80.24118245018514,33,0.1,Time Limit,-875.9606148916548
15,34,258653.56200640395,-15816.243390220741,114.12088256308228,4099.176217592225,35,7.719353334068199,50.254234300837496,6,0.1,Bankruptcy,-268.39640155642667
16,38,342613.27273004357,-21992.06570148532,94.47531366544393,4303.174702988319,43,9.661997182066585,50.584370263611646,8,0.1,Bankruptcy,-294.1995714255734
17,29,198703.6700667164,-783.0826106736786,597.6128825805268,3786.9991247670787,30,5.9810435104108,79.16344192055776,12,0.1,Bankruptcy,-259.31373893724714
18,120,1461752.307363613,26270741.9018795,246.41127445524262,5030.671854548754,113,15.64281354997109,-117.36911854038675,34,0.1,Time Limit,-828.4777521058188
19,120,1541104.0857281392,24034874.1196678,218.6276826259635,3986.230013409413,132,14.210957283447671,-124.96135504209006,23,0.1,Time Limit,-848.3964016807005
